,name,owgr_points_current_avg,driving_dist_avg,owgr_points_next_avg,top_tens,sg_p_avg,driving_acc_pct,scrambling_pct,adj_scoring_avg,sg_ott_avg,sg_apr_avg,sg_arg_avg,rounds
22,Marc Leishman,4.19,298.5,3.89,6,0.126,60.17,59.07,70.26,-0.006,0.21100000000000002,0.292,73
23,Henrik Stenson,4.05,291.5,3.21,5,-0.207,75.19,60.67,69.617,0.42700000000000005,0.96,-0.027000000000000003,44
24,Phil Mickelson,4.01,300.3,2.94,6,0.51,52.91,58.36,70.098,-0.225,0.555,0.091,70
25,Tyrrell Hatton,3.91,298.8,2.72,4,0.335,61.84,62.58,70.09100000000001,0.14800000000000002,0.20199999999999999,0.252,42
26,Kyle Stanley,3.8,295.7,2.06,5,0.037000000000000005,71.29,54.8,70.404,0.37799999999999995,0.298,-0.027000000000000003,67
27,Kevin Kisner,3.63,290.8,3.69,4,0.513,66.33,60.29,70.729,-0.043,-0.316,-0.11800000000000001,65
28,Rafa Cabrera Bello,3.62,295.1,2.89,5,0.273,67.85,57.98,69.887,0.256,0.48700000000000004,0.096,48
29,Keegan Bradley,3.44,299.6,2.98,5,-0.358,67.9,56.78,70.303,0.237,0.888,0.026000000000000002,80
30,Cameron Smith,3.38,298.4,2.66,7,0.115,57.03,61.12,70.517,-0.14800000000000002,0.034,0.218,61
31,Matt Kuchar,3.28,288.0,5.01,4,0.348,63.27,63.6,70.461,-0.19899999999999998,0.21600000000000003,0.21100000000000002,65
32,Ian Poulter,3.25,293.6,3.13,4,0.223,66.41,57.11,70.593,0.141,0.435,0.051,50
33,Billy Horschel,3.18,295.4,3.05,6,0.392,67.8,58.03,70.154,0.5379999999999999,0.35200000000000004,-0.16899999999999998,77
34,Louis Oosthuizen,3.1,299.8,4.12,3,-0.026000000000000002,64.81,64.26,70.157,0.401,-0.261,0.408,46
35,Brian Harman,3.01,291.9,1.51,8,0.273,67.14,56.95,70.536,0.13699999999999998,-0.024,-0.096,72
36,Kiradech Aphibarnrat,2.99,294.7,2.03,2,0.138,65.12,55.59,70.62899999999999,0.485,-0.247,0.135,34
37,Gary Woodland,2.93,313.5,5.2,3,0.006999999999999999,63.69,54.45,70.161,0.8029999999999999,0.484,-0.228,70
38,Adam Scott,2.86,304.6,5.48,3,-0.285,62.51,54.85,70.42,0.3,0.639,0.125,60
39,Kevin Na,2.85,289.6,3.04,4,0.5329999999999999,64.13,63.62,70.288,-0.37799999999999995,0.273,0.373,70
40,Branden Grace,2.75,298.9,1.84,2,0.35,63.49,57.78,70.41199999999999,0.163,0.174,0.125,44
41,Byeong Hun An,2.6,307.9,2.53,4,-0.285,60.19,61.16,70.19,0.475,0.44799999999999995,0.16699999999999998,73
42,Daniel Berger,2.59,297.7,1.26,1,0.319,64.58,58.94,70.32,0.1,0.5429999999999999,-0.145,62
43,Satoshi Kodaira,2.58,293.6,1.13,1,-0.645,65.53,51.02,72.182,0.027000000000000003,-0.284,-0.93,40
44,Aaron Wise,2.47,302.9,1.83,4,0.23800000000000002,63.33,56.28,70.247,0.41,0.012,0.042,80
45,Zach Johnson,2.45,289.8,1.16,2,0.20600000000000002,63.88,62.35,69.911,-0.059000000000000004,0.46299999999999997,0.425,72
46,Brandt Snedeker,2.41,293.1,2.95,4,0.478,62.79,60.08,70.37899999999999,-0.145,-0.026000000000000002,0.318,74
47,Pat Perez,2.34,290.9,1.04,4,0.115,65.09,55.63,70.594,-0.063,-0.138,0.037000000000000005,51
